dataset,method,pruning_rate,acc_before_quant,acc_after_quant,acc_drop,f1_after_quant,timestamp
cifar10,margin,0.0,35.5,35.55,-0.05,34.67,2026-06-08 14:07:22
cifar10,margin,0.1,36.36,36.47,-0.11,35.68,2026-06-08 14:08:44
cifar10,margin,0.3,36.35,36.39,-0.04,35.71,2026-06-08 14:10:05
cifar10,margin,0.5,35.6,35.59,0.01,34.52,2026-06-08 14:11:27
cifar10,margin,0.7,35.58,35.49,0.09,34.57,2026-06-08 14:12:50
cifar10,margin,0.9,33.68,33.57,0.11,31.69,2026-06-08 14:14:11
cifar10,gaussian,0.0,38.72,38.82,-0.1,38.39,2026-06-08 14:15:13
cifar10,gaussian,0.1,38.65,38.76,-0.11,38.31,2026-06-08 14:16:35
cifar10,gaussian,0.3,39.21,39.4,-0.19,38.6,2026-06-08 14:17:58
cifar10,gaussian,0.5,38.43,38.48,-0.05,37.61,2026-06-08 14:19:22
cifar10,gaussian,0.7,38.86,38.82,0.04,38.49,2026-06-08 14:20:44
cifar10,gaussian,0.9,37.7,37.62,0.08,36.93,2026-06-08 14:22:06
cifar10,inverse_gaussian,0.0,34.48,34.56,-0.08,34.09,2026-06-08 14:23:07
cifar10,inverse_gaussian,0.1,36.32,36.38,-0.06,35.77,2026-06-08 14:24:30
cifar10,inverse_gaussian,0.3,34.6,34.48,0.12,33.14,2026-06-08 14:25:52
cifar10,inverse_gaussian,0.5,35.8,35.83,-0.03,35.48,2026-06-08 14:27:15
cifar10,inverse_gaussian,0.7,34.62,34.55,0.07,33.94,2026-06-08 14:28:38
cifar10,inverse_gaussian,0.9,34.9,35.02,-0.12,33.4,2026-06-08 14:30:04
cifar100,margin,0.0,9.01,8.98,0.03,7.3,2026-06-08 14:31:04
cifar100,margin,0.1,9.59,9.59,0.0,8.15,2026-06-08 14:32:26
cifar100,margin,0.3,9.37,9.35,0.02,7.75,2026-06-08 14:33:47
cifar100,margin,0.5,9.27,9.3,-0.03,7.66,2026-06-08 14:35:08
cifar100,margin,0.7,9.25,9.25,0.0,7.45,2026-06-08 14:36:29
cifar100,margin,0.9,9.04,8.99,0.05,6.97,2026-06-08 14:37:49
cifar100,gaussian,0.0,9.84,9.94,-0.1,8.89,2026-06-08 14:38:50
cifar100,gaussian,0.1,11.34,11.46,-0.12,10.65,2026-06-08 14:40:13
cifar100,gaussian,0.3,11.21,11.24,-0.03,10.1,2026-06-08 14:41:36
cifar100,gaussian,0.5,11.29,11.21,0.08,10.13,2026-06-08 14:42:59
cifar100,gaussian,0.7,10.8,10.82,-0.02,9.57,2026-06-08 14:44:22
cifar100,gaussian,0.9,9.89,9.89,0.0,8.36,2026-06-08 14:45:44
cifar100,inverse_gaussian,0.0,8.77,8.84,-0.07,7.09,2026-06-08 14:46:45
cifar100,inverse_gaussian,0.1,9.38,9.4,-0.02,7.7,2026-06-08 14:48:08
cifar100,inverse_gaussian,0.3,9.05,9.03,0.02,7.56,2026-06-08 14:49:31
cifar100,inverse_gaussian,0.5,9.34,9.34,0.0,7.98,2026-06-08 14:50:53
cifar100,inverse_gaussian,0.7,8.95,8.98,-0.03,7.48,2026-06-08 14:52:16
cifar100,inverse_gaussian,0.9,8.39,8.44,-0.05,6.43,2026-06-08 14:53:39
