dataset,method,pruning_rate,acc_mean,acc_std,f1_mean,f1_std,R_mean
cifar10,gaussian,0.0,38.55,0.545,37.68,1.065,8.065
cifar10,gaussian,0.1,38.177,0.794,37.357,0.982,7.17
cifar10,gaussian,0.3,38.807,0.559,38.23,0.383,7.403
cifar10,gaussian,0.5,37.61,0.632,36.547,0.994,7.651
cifar10,gaussian,0.7,37.88,1.135,37.147,1.402,8.797
cifar10,gaussian,0.9,36.75,0.848,35.777,1.271,9.035
cifar10,inverse_gaussian,0.0,34.703,0.391,33.983,0.474,16.26
cifar10,inverse_gaussian,0.1,35.87,0.592,35.047,0.985,16.541
cifar10,inverse_gaussian,0.3,35.177,1.051,34.247,1.912,16.445
cifar10,inverse_gaussian,0.5,35.65,1.72,34.83,2.32,17.364
cifar10,inverse_gaussian,0.7,35.387,0.665,34.59,0.75,17.407
cifar10,inverse_gaussian,0.9,34.127,1.543,32.093,2.256,18.861
cifar10,margin,0.0,34.98,0.849,34.253,1.047,15.234
cifar10,margin,0.1,35.843,0.947,34.893,1.359,13.548
cifar10,margin,0.3,35.863,0.949,34.933,1.346,13.849
cifar10,margin,0.5,35.507,0.487,34.407,0.811,14.377
cifar10,margin,0.7,35.617,1.025,34.607,1.466,14.34
cifar10,margin,0.9,33.36,1.565,31.43,2.779,15.632
cifar100,gaussian,0.0,9.97,0.2,8.71,0.121,10.022
cifar100,gaussian,0.1,11.293,0.057,10.237,0.333,8.847
cifar100,gaussian,0.3,10.977,0.197,9.91,0.201,9.026
cifar100,gaussian,0.5,10.693,0.318,9.34,0.533,9.898
cifar100,gaussian,0.7,10.837,0.148,9.71,0.357,12.256
cifar100,gaussian,0.9,9.34,0.632,7.693,0.616,13.975
cifar100,inverse_gaussian,0.0,8.443,0.33,6.75,0.24,16.099
cifar100,inverse_gaussian,0.1,9.217,0.527,7.653,0.463,18.589
cifar100,inverse_gaussian,0.3,9.127,0.264,7.79,0.478,17.907
cifar100,inverse_gaussian,0.5,9.56,0.355,7.933,0.201,18.207
cifar100,inverse_gaussian,0.7,8.837,0.188,7.257,0.197,17.732
cifar100,inverse_gaussian,0.9,8.513,0.342,6.533,0.539,20.67
cifar100,margin,0.0,8.64,0.327,6.9,0.406,16.454
cifar100,margin,0.1,9.573,0.086,8.28,0.142,18.943
cifar100,margin,0.3,9.5,0.113,8.14,0.376,19.174
cifar100,margin,0.5,9.32,0.056,7.987,0.333,19.601
cifar100,margin,0.7,9.29,0.106,7.743,0.33,19.742
cifar100,margin,0.9,8.683,0.314,6.873,0.232,19.207
